Date / Time,City,State,Shape,Duration,Summary,Posted
9/10/19 22:10,Lake Worth,TX,Light,30,Two bright objects moving in formation.,9/12/19
9/6/19 21:00,League City,TX,Formation,120,"As we were heading northbound on Hobbs Road in league City, Tx, we saw one single white light drop in the sky. Once it dropped it split",9/12/19
9/5/19 07:30,Weatherford,TX,Cylinder,30,"Re-entry moving W, W of Weatherford, TX.",9/12/19
9/4/19 23:00,Ozona,TX,Light,12,Light almost like a plane flying quickly above the clouds from left to right higher and higher until it could not be seen any longer,9/6/19
9/1/19 20:30,League City,TX,Circle,300,8-9 Orange glowing objects in single file line moving across the sky.,9/6/19
8/30/19 12:00,Austin,TX,Unknown,900,Small silver circle object seen high in the sky not moving during daytime also seen a strange transparent plane flying around it,9/6/19
8/19/19 22:00,Alpine,TX,Other,7,"On Monday, August 19th at somewhere around 10:00 pm in Alpine, Texas. Me and two friends had stepped outside for a cigarette.",8/23/19
8/16/19 21:00,Schertz,TX,Circle,10,"I was standing outside of my house, on the back porch at approximately 9:00pm (21:00). I was looking at the sky when I saw a round",8/23/19
8/14/19 01:00,Abilene,TX,Light,30,Star-like light that started bouncing in the air before disappearing,8/23/19
8/12/19 02:00,San Antonio,TX,Light,1200,Have video of light moving erratically in the sky. A less bright light followed its motions. Phone died after getting good footage,8/23/19
8/10/19 03:00,Timpson,TX,Unknown,10800,Looked to be stars out was all of a sudden one started to move side to side in circles then the sky in distances started pulsating inli,8/23/19
8/5/19 23:00,Bend,TX,Oval,1200,"The ovular shaped craft was slowly moving across the sky in a straight line, slower than an airplane. It had multiple green lights on t",8/23/19
8/3/19 22:25,Livingston,TX,Sphere,60,"Bright orange light sphere seen moving SE at about 10:30 pm. from Lake Livingston, Tx",8/23/19
7/30/19 00:01,Southlake,TX,Light,1,A small white light flew from left to right for about one second then flashed and disappeared.,8/23/19
7/30/19 00:01,Southlake,TX,Fireball,1,"A small, white light flew left to right for about one second at a high rate of speed.",8/23/19
7/28/19 20:10,San Antonio,TX,nan,25,Saw silver ball and rectangle fly from South to north over San Antonio Texas.,8/23/19
7/19/19 12:34,Fort Worth,TX,Circle,10,Round bright white light traveling at a high rate of speed.,7/25/19
7/18/19 01:00,Laredo,TX,Sphere,1,Bright orange and red sphere that streaked directly overhead for about a mile. No sound. Aproxmently one mile from the ground and flyin,7/25/19
7/17/19 22:00,Austin,TX,Light,180,"One bright star-like object randomly gets super bright, disappears, and then reappears multiple times",7/25/19
7/11/19 22:40,Cedar Creek,TX,Other,20,"Sitting on my front porch a few minutes ago, we live near an airport and have many planes for over us but for some reason this moved an",7/12/19
7/5/19 21:35,Lockhart,TX,Egg,2,Super fast craft flying low leaving green trail,7/12/19
7/4/19 21:00,Beaumont,TX,Other,600,West sky close to moon. 4 red lights in box formation. I watched it because it was unusual it dropped down then up then just disappeare,7/5/19
7/4/19 20:30,Burleson,TX,Sphere,60,3 spheres seen flying south then disappear,7/12/19
7/1/19 20:00,Houston,TX,Sphere,30,I was standing outside enjoying the weather and smoking my cigarette right after/middle if a rain spout storm. Clouds in the sky and I,7/5/19
6/30/19 20:20,Wimberley,TX,Cigar,600,"Metallic color,  cigar shape hovering and when I get out to video there was no sound and moved liked nothing I have ever seen.",7/5/19
6/26/19 08:30,Abilene,TX,Changing,10,"4 white lights in a shape of a square then changed into 1 bright light and traveled faster until I looked again, it was gone",7/5/19
6/12/19 22:30,Leander,TX,Cylinder,600,Lit up like a shooting star at first then round dim intermittently illuminated red craft moving West to East in a zig zag pattern.,6/27/19
