Date / Time,City,State,Shape,Duration,Summary,Posted
9/10/19 22:10,Lake Worth,TX,Light,30.0,Two bright objects moving in formation.,9/12/19
9/6/19 21:00,League City,TX,Formation,2.0,"As we were heading northbound on Hobbs Road in league City, Tx, we saw one single white light drop in the sky. Once it dropped it split",9/12/19
9/5/19 07:30,Weatherford,TX,Cylinder,30.0,"Re-entry moving W, W of Weatherford, TX.",9/12/19
9/4/19 23:00,Ozona,TX,Light,12.0,Light almost like a plane flying quickly above the clouds from left to right higher and higher until it could not be seen any longer,9/6/19
9/1/19 20:30,League City,TX,Circle,5.0,8-9 Orange glowing objects in single file line moving across the sky.,9/6/19
8/31/19 16:00,Weatherford,TX,Unknown,2.0,Rocket launch in west Texas.,9/12/19
8/30/19 12:00,Austin,TX,Unknown,15.0,Small silver circle object seen high in the sky not moving during daytime also seen a strange transparent plane flying around it,9/6/19
8/19/19 22:00,Alpine,TX,Other,7.0,"On Monday, August 19th at somewhere around 10:00 pm in Alpine, Texas. Me and two friends had stepped outside for a cigarette.",8/23/19
8/16/19 21:00,Schertz,TX,Circle,10.0,"I was standing outside of my house, on the back porch at approximately 9:00pm (21:00). I was looking at the sky when I saw a round",8/23/19
8/14/19 01:00,Abilene,TX,Light,30.0,Star-like light that started bouncing in the air before disappearing,8/23/19
8/12/19 02:00,San Antonio,TX,Light,20.0,Have video of light moving erratically in the sky. A less bright light followed its motions. Phone died after getting good footage,8/23/19
8/10/19 03:00,Timpson,TX,Unknown,3.0,Looked to be stars out was all of a sudden one started to move side to side in circles then the sky in distances started pulsating inli,8/23/19
8/5/19 23:00,Bend,TX,Oval,20.0,"The ovular shaped craft was slowly moving across the sky in a straight line, slower than an airplane. It had multiple green lights on t",8/23/19
8/3/19 22:25,Livingston,TX,Sphere,1.0,"Bright orange light sphere seen moving SE at about 10:30 pm. from Lake Livingston, Tx",8/23/19
7/30/19 00:01,Southlake,TX,Light,1.0,A small white light flew from left to right for about one second then flashed and disappeared.,8/23/19
7/30/19 00:01,Southlake,TX,Fireball,1.0,"A small, white light flew left to right for about one second at a high rate of speed.",8/23/19
7/28/19 20:10,San Antonio,TX,nan,25.0,Saw silver ball and rectangle fly from South to north over San Antonio Texas.,8/23/19
7/25/19 13:45,Sugar Land,TX,Triangle,5.0,Daytime White Triangle traveling East,8/23/19
7/20/19 13:00,Carrollton,TX,Changing,1.0,"We were at Arby's between 12:30 pm and 1:00 pm when we saw a chem trail in the sky pretty high up, and from the top of it we saw a meta",7/25/19
7/19/19 12:34,Fort Worth,TX,Circle,10.0,Round bright white light traveling at a high rate of speed.,7/25/19
7/18/19 01:00,Laredo,TX,Sphere,1.0,Bright orange and red sphere that streaked directly overhead for about a mile. No sound. Aproxmently one mile from the ground and flyin,7/25/19
7/17/19 22:00,Austin,TX,Light,3.0,"One bright star-like object randomly gets super bright, disappears, and then reappears multiple times",7/25/19
7/11/19 22:40,Cedar Creek,TX,Other,20.0,"Sitting on my front porch a few minutes ago, we live near an airport and have many planes for over us but for some reason this moved an",7/12/19
7/10/19 18:00,Stephenville,TX,Other,0,"As I was driving the backroads from my sister’s house in Denton, Texas I saw an enormous pewter colored plane. It was about 6pm. It was",8/23/19
7/5/19 21:35,Lockhart,TX,Egg,2.0,Super fast craft flying low leaving green trail,7/12/19
7/4/19 21:00,Beaumont,TX,Other,10.0,West sky close to moon. 4 red lights in box formation. I watched it because it was unusual it dropped down then up then just disappeare,7/5/19
7/4/19 20:30,Burleson,TX,Sphere,1.0,3 spheres seen flying south then disappear,7/12/19
7/1/19 20:00,Houston,TX,Sphere,30.0,I was standing outside enjoying the weather and smoking my cigarette right after/middle if a rain spout storm. Clouds in the sky and I,7/5/19
6/30/19 20:20,Wimberley,TX,Cigar,10.0,"Metallic color,  cigar shape hovering and when I get out to video there was no sound and moved liked nothing I have ever seen.",7/5/19
6/26/19 08:30,Abilene,TX,Changing,10.0,"4 white lights in a shape of a square then changed into 1 bright light and traveled faster until I looked again, it was gone",7/5/19
6/13/19 20:20,Larue,TX,Rectangle,5.0,"Bright orange light in Southeastern sky near New York, Texas.",6/20/19
6/12/19 22:30,Leander,TX,Cylinder,10.0,Lit up like a shooting star at first then round dim intermittently illuminated red craft moving West to East in a zig zag pattern.,6/27/19
6/5/19 03:30,Mt. Calm,TX,Light,1.0,Driving N on Hwy 31 just before passing threw mt calm 3 blue lights huvered in a row over the town.,6/7/19
5/31/19 01:00,Sanger,TX,Light,10.0,It was pitch black when a light appeared in the sky; the object started dropping rapidly.,6/7/19
5/27/19 20:25,Jones Creek,TX,Cylinder,45.0,"No lights. Appeared as a vertical, grey, smoky cylinder. Estimate fifty feet tall twenty five feet wide.Moving in a southeastern di",6/7/19
5/26/19 22:00,Rowve,TX,Light,10.0,"The zigzagging lights across Rowe, NM.",6/7/19
5/25/19 22:00,Benavides,TX,Light,5.0,"Straight line literally, of multiple craft at high speed headed northeast .     Some with bright lights some with almost no lights.",6/7/19
5/23/19 17:30,Houston,TX,Unknown,1.0,"A nuclear explosion, high in the atmosphere...... Mushroom cloud went wsy up high... It must of been higher than i originally thought",6/7/19
5/21/19 22:00,Pearsall,TX,Unknown,3.0,2 objects moving extremely fast. Appeared to be impossibly large for their speed,6/7/19
5/21/19 21:42,Plano,TX,Unknown,6.0,"Unidentified Light - Color Changing and Flashing, Very Fast and Maneuverable beyond anything I've Seen - Plano, TX",6/7/19
5/20/19 20:00,Fort Worth,TX,Rectangle,5.0,"Saw a vertical rectangle, looked like a lower case letter i, move across the sky.  Daytime - no lights on object.",6/7/19
5/15/19 02:00,San Antonio,TX,Triangle,15.0,Bright lights 60 feet above ground near abandoned improved assisted living facility,9/6/19
5/12/19 22:00,Austin,TX,Unknown,20.0,Strange bright objects in Northwest Austin sky.  ((anonymous report)),5/14/19
5/6/19 15:03,El Paso,TX,Disk,1.0,"Military jet takes off and tries to intercept a disc-shaped UAP.  As jet gets close, both UAP and jet suddenly disappear.",6/7/19
5/6/19 14:19,Warda,TX,Teardrop,1.0,Caught picture of 6 white teardrop objects. Moving up and sideways. This happen just before a severe thunderstorm.,5/14/19
5/2/19 03:00,Wichita Falls,TX,Circle,1.0,A little orange light movings as if a fairy was hovering over your head.   ((NUFORC Note:  Possible sighting of a planet??  PD)),5/9/19
4/29/19 20:13,Allen,TX,Other,1.0,3 attached orb cluster with greenish hue connected by diamond shapes flew from south southeast to north northwest in the Allen TX sky.,5/9/19
4/27/19 19:25,Austin,TX,Triangle,15.0,Brown boomerang shape glided across the sky with no light or sound.,5/9/19
4/20/19 09:38,Waco,TX,Triangle,10.0,"Triangle shaped object, three red lights, one light on each point.",4/25/19
4/16/19 20:30,Kingwood,TX,Fireball,2.0,3 fireballs flying in a triangle.,4/25/19
4/15/19 04:30,Frisco,TX,Triangle,10.0,"Wing shaped object flying low and fast over house, made no noise at all. It was white and almost transparent.",4/18/19
4/11/19 21:15,San Antonio,TX,Triangle,2.0,Three red-orange lights in triangular formation hovering over apartments.,4/12/19
4/10/19 22:30,Freeport,TX,Formation,5.0,"It looked like a flare, but it had a series of moving bright white lights.",4/18/19
4/10/19 21:20,Austin,TX,Triangle,30.0,I was walking my dogs outside in south Austin  around 9:20pm. I caught something in the corner of my eye and was able to identify a tri,4/12/19
4/9/19 00:00,San Antonio,TX,Circle,1.0,((HOAX??))  Spinning rainbow colored lights.  ((anonymous report)),4/12/19
4/9/19 20:45,Converse,TX,Light,15.0,bright light vanishes like nothing at a fast speed,4/12/19
4/4/19 22:15,Austin,TX,Cigar,10.0,Bright light split into 2 flying from NE to NW.  High above normal aircraft which we observed flying below.  ((anonymous report)),4/8/19
4/2/19 20:25,Kirbyville,TX,Disk,15.0,"The object has flashing lights that are green, blue, red, and white.  The lights revolves around the object.  The object hovers.",4/8/19
4/1/19 22:30,Pearsall,TX,Formation,3.0,Orange/Golden orbs.  ((anonymous report)),4/8/19
4/1/19 15:30,San Antonio,TX,Changing,3.0,I saw a dark square shape floating over seaworld.. along with a silver light close by. Drove around the neighboorhood and took a pictur,4/8/19
