Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/29/19 ($m)"
1,Walmart,2200000,-,514405,0.028,6670,-0.324,219295,279880.3
2,Exxon Mobil,71000,-,290212,0.188,20840,0.057,346196,342172
3,Apple,132000,1,265595,0.159,59531,0.231,365725,895667.4
4,Berkshire Hathaway,389000,-1,247837,0.024,4021,-0.911,707794,493870.3
5,Amazon.com,647500,3,232887,0.309,10073,2.321,162648,874709.5
6,UnitedHealth Group,300000,-1,226247,0.125,11986,0.135,152221,237255.5
7,McKesson,68000,-1,208357,0.049,67,-0.987,60381,22455.1
8,CVS Health,295000,-1,194579,0.053,-594,-1.09,196456,69951.6
9,AT&T,268220,-,170756,0.064,19370,-0.342,531864,228444.7
10,AmerisourceBergen,20500,2,167939.6,0.097,1658.4,3.55,37669.8,16785.9
11,Chevron,48600,2,166339,0.236,14824,0.612,253863,234049.7
12,Ford Motor,199000,-1,160338,0.023,3677,-0.516,256540,35028
13,General Motors,173000,-3,147049,-0.065,8014,-,227339,52291.7
14,Costco Wholesale,194000,1,141576,0.097,3134,0.17,40830,106512.6
15,Alphabet,98771,7,136819,0.234,30736,1.427,232792,816824.2
16,Cardinal Health,50200,-2,136809,0.053,256,-0.801,39951,14349.5
17,Walgreens Boots Alliance,299000,2,131537,0.113,5024,0.232,68124,59691.7
18,JPMorgan Chase,256105,2,131412,0.154,32474,0.329,2622532,331451.5
19,Verizon Communications,144500,-3,130863,0.038,15528,-0.484,264829,244327.9
20,Kroger,453000,-3,121162,-0.012,3110,0.631,38118,19630.8
21,General Electric,283000,-3,120268,-0.016,-22355,-,309129,87009.3
22,Fannie Mae,7400,-1,120101,0.069,15959,5.479,3418318,3242.6
23,Phillips 66,14200,5,114217,0.247,5595,0.096,54302,43240.7
24,Valero Energy,10261,7,111407,0.26,3122,-0.232,50155,35426.1
25,Bank of America,204489,-1,110584,0.103,28147,0.544,2354507,265938.5
26,Microsoft,131000,4,110360,0.227,16571,-0.218,258848,904860.9
27,Home Depot,413000,-4,108203,0.072,11121,0.289,44003,211828
28,Boeing,153000,-1,101127,0.083,10460,0.276,117359,215304.7
29,Wells Fargo,258700,-3,101060,0.034,22393,0.009,1895883,219467.1
30,Citigroup,204000,2,97120,0.104,18045,-,1917383,145625.4
31,Marathon Petroleum,60350,10,97102,0.436,2780,-0.19,92940,40258.2
32,Comcast,184000,1,94507,0.118,11731,-0.484,251684,180948
33,Anthem,63900,-4,92105,0.023,3750,-0.024,71571,73826.6
34,Dell Technologies,157000,1,90621,0.152,-2310,-,111820,42170.5
35,DuPont de Nemours,98000,12,85977,0.372,3844,1.633,188030,120201.4
36,State Farm Insurance,56788,-,81732.2,0.043,8788.4,2.983,272518.4,-
37,Johnson & Johnson,135100,-,81581,0.067,15297,10.767,152954,372228.9
38,IBM,381100,-4,79591,0.006,8728,0.517,123382,125560.1
39,Target,360000,-,75356,0.048,2937,0.001,41290,41440.9
40,Freddie Mac,6621,-2,73598,-0.014,9235,0.642,2063060,1748.7
41,United Parcel Service,364575,3,71861,0.091,4791,-0.024,50016,96116.3
42,Lowe's,245000,-2,71309,0.039,2314,-0.329,34508,87685.5
43,Intel,107400,3,70848,0.129,21053,1.193,127963,241488.9
44,MetLife,48000,-1,67941,0.027,5123,0.278,687538,40751
45,Procter & Gamble,92000,-3,66832,0.009,9750,-0.364,118310,260289.4
46,United Technologies,240200,5,66501,0.111,5269,0.158,134211,111146
47,FedEx,359000,3,65450,0.085,4572,0.526,52330,47270.8
48,PepsiCo,267000,-3,64661,0.018,12515,1.577,77648,172094.7
49,Archer Daniels Midland,31600,-1,64341,0.058,1810,0.135,40833,24156.7
50,Prudential Financial,50492,2,62992,0.055,4074,-0.482,815078,37517.7
51,Centene,47300,10,60116,0.238,900,0.087,30901,21939.7
52,Albertsons,275000,1,59924.6,0.004,46.3,-,21812.3,-
53,Walt Disney,201000,2,59434,0.078,12598,0.403,98598,199589.9
54,Sysco,67000,-,58727.3,0.061,1430.8,0.252,18070.4,34278.8
55,HP,55000,3,58472,0.123,5327,1.109,34622,29795.9
56,Humana,41600,-,56912,0.058,1683,-0.313,25413,36079.6
57,Facebook,35587,19,55838,0.374,22112,0.388,97334,475731.6
58,Caterpillar,104000,7,54722,0.204,6147,7.153,78509,77980.3
59,Energy Transfer,11768,5,54436,0.146,1694,0.776,88246,40260
60,Lockheed Martin,105000,-1,53762,0.053,5046,1.52,44876,84887.6
61,Pfizer,92400,-4,53647,0.021,11153,-0.477,159422,235785.1
62,Goldman Sachs Group,36600,8,52528,0.243,10459,1.44,931796,70414.9
63,Morgan Stanley,60348,4,50193,0.15,8748,0.432,853531,72110.8
64,Cisco Systems,74200,-2,49330,0.028,110,-0.989,108784,237665.5
65,Cigna,73800,8,48650,0.169,2637,0.179,153226,61058.9
66,AIG,49600,-6,47389,-0.043,-6,-,491984,37440.1
67,HCA Healthcare,229000,-4,46677,-0.02,3787,0.709,39207,44787
68,American Airlines Group,128900,3,44541,0.055,1412,-0.264,60580,14262
69,Delta Air Lines,88680,6,44438,0.077,3935,0.1,60266,35067.8
70,Charter Communications,98000,4,43634,0.049,1230,-0.876,146130,85923.4
71,New York Life Insurance,11388,-2,43425.3,0.027,880,-0.529,311449.3,-
72,American Express,59000,14,43281,0.216,6921,1.53,188602,91675.1
73,Nationwide,30472,-7,43270,-0.015,512.6,1.079,214141.9,-
74,Best Buy,125000,-2,42879,0.017,1464,0.464,12901,19030.2
75,Liberty Mutual Insurance Group,50000,-7,42685,0,2160,126.059,125989,-
76,Merck,69000,2,42294,0.054,6220,1.598,82637,214680.1
77,Honeywell International,114000,-,41802,0.031,6765,3.088,57773,115752.5
78,United Continental Holdings,92000,3,41303,0.095,2129,-0.001,44792,21279.5
79,TIAA,17643,5,41052.1,0.14,1560.5,0.487,568190.2,-
80,Tyson Foods,121000,-,40052,0.047,3024,0.705,29109,25360.5
81,Oracle,137000,1,39831,0.056,3825,-0.59,137264,183562.2
82,Allstate,45420,-3,39815,0.034,2252,-0.294,112249,31264.3
83,World Fuel Services,5000,8,39750.3,0.18,127.7,-,5676.9,1940.6
84,Massachusetts Mutual Life Insurance,9844,9,39267.2,0.172,397.9,-0.224,265812.6,-
85,TJX,270000,-,38972.9,0.087,3059.8,0.173,14326,65615.7
86,ConocoPhillips,10800,9,38727,0.189,6257,-,69980,75710.1
87,Deere,74413,15,37357.7,0.256,2368.4,0.097,70108,50908
88,Tech Data,14000,-5,37239,0.013,340.6,1.92,12986.6,3779
89,Enterprise Products Partners,7000,16,36534.2,0.249,4172.4,0.491,56969.8,63579.8
90,Nike,73100,-1,36397,0.06,1933,-0.544,22536,132529.5
91,Publix Super Markets,202000,-3,36395.7,0.045,2381.2,0.039,18982.5,-
92,General Dynamics,105600,7,36193,0.169,3345,0.149,45408,48883
93,Exelon,33383,-1,35985,0.073,2010,-0.467,119666,48623.7
94,Plains GP Holdings,4900,21,34055,0.299,334,-,26830,3974.4
95,3M,93516,2,32765,0.035,5349,0.101,36500,119659.8
96,AbbVie,30000,14,32753,0.161,5687,0.071,59352,119125.3
97,CHS,10495,-1,32683.3,0.02,775.9,9.838,16381.2,-
98,Capital One Financial,47600,3,32377,0.079,6015,2.035,372538,38340.7
99,Progressive,37346,13,31979,0.192,2615.3,0.643,46575,42099.5
100,Coca-Cola,62600,-13,31856,-0.1,6434,4.155,83216,200334.1
101,USAA,33689,-1,31367.8,0.045,2291.9,-0.054,158506.8,-
102,Hewlett Packard Enterprise,60000,5,30852,0.069,1908,4.547,55493,21144.9
103,Abbott Laboratories,103000,8,30578,0.116,2368,3.964,67173,140412.2
104,Twenty-First Century Fox,22400,5,30400,0.067,4464,0.512,53831,-
105,Micron Technology,36000,45,30391,0.495,14135,1.778,43376,45739.4
106,Travelers,30400,-,30282,0.048,2523,0.227,104233,36126.7
107,Rite Aid,48410,-13,30215.4,-0.08,943.5,231.783,8989.3,685.7
108,Northrop Grumman,85000,10,30095,0.166,3229,0.602,37653,45821
109,Arrow Electronics,20100,4,29676.8,0.107,716.2,0.782,17784.4,6564.4
110,Philip Morris International,77400,-2,29625,0.031,7911,0.311,39801,137516.7
111,Northwestern Mutual,5870,-7,29124,-0.007,783,-0.23,272167,-
112,INTL FCStone,1701,-9,27622.7,-0.061,55.5,7.672,7824.7,739.5
113,PBF Energy,3266,22,27186.1,0.248,128.3,-0.691,8005.4,3732
114,Raytheon,67000,5,27058,0.067,2909,0.437,31864,51390.1
115,Kraft Heinz,39000,-1,26259,0.001,-10229,-1.93,103627,39814.6
